name,n_tr,n_va,mean_tr,mean_va,gross_tr,gross_va,R_tr,win_tr,stop_tr,lev,verdict,n_assets_pos,arm,filt
"prev day low -> 1m BOS, hold 24h",268,135,-0.2748130984557407,-0.5775890713458478,0.22518690154425933,-0.07758907134584776,-4.533592993027368,10.820895522388058,0.26952683462920124,3.710205706885326,reject,0,PARENT,PARENT
"prev day low -> 1m BOS, target 1R",268,135,-0.4442500982115388,-0.4499124586510025,0.05574990178846112,0.05008754134899755,-5.722496166126533,4.850746268656716,0.26952683462920124,3.710205706885326,reject,0,PARENT,PARENT
"prev day low -> 1m BOS, target 2R",268,135,-0.4701292519192622,-0.45682302539362574,0.029870748080737794,0.04317697460637426,-5.707570792992205,13.432835820895523,0.26952683462920124,3.710205706885326,reject,0,PARENT,PARENT
"prev day low -> 1m BOS, target 3R",268,135,-0.4442123411689202,-0.4592375980684387,0.05578765883107986,0.040762401931561235,-5.618018554186234,19.029850746268657,0.26952683462920124,3.710205706885326,reject,0,PARENT,PARENT
"prev day high -> 1m BOS, hold 24h",286,92,-0.42068496006268175,-0.3934115823352224,0.07931503993731831,0.10658841766477763,-3.841730138046914,11.188811188811188,0.2928541400897365,3.414669158146713,reject,0,PARENT,PARENT
"prev day high -> 1m BOS, target 1R",286,92,-0.45003287525150465,-0.4234204584996538,0.04996712474849541,0.07657954150034617,-4.235430539053788,8.041958041958042,0.2928541400897365,3.414669158146713,reject,0,PARENT,PARENT
"prev day high -> 1m BOS, target 2R",286,92,-0.4240192364535143,-0.44417277001606675,0.07598076354648566,0.055827229983933274,-4.13752844115169,18.88111888111888,0.2928541400897365,3.414669158146713,reject,0,PARENT,PARENT
"prev day high -> 1m BOS, target 3R",286,92,-0.39759873916518484,-0.4755899947069001,0.1024012608348151,0.024410005293099894,-4.02519697433414,20.97902097902098,0.2928541400897365,3.414669158146713,reject,0,PARENT,PARENT
"last session low -> 1m BOS, hold 24h",557,166,-0.3783850158707007,-0.44627166447701166,0.12161498412929926,0.05372833552298836,-5.297595168639427,10.23339317773788,0.2751835161993979,3.6339385941830913,reject,0,PARENT,PARENT
"last session low -> 1m BOS, target 1R",557,166,-0.4630310028944458,-0.49471830281638013,0.03696899710555425,0.0052816971836199605,-5.57534765586153,7.001795332136446,0.2751835161993979,3.6339385941830913,reject,0,PARENT,PARENT
"last session low -> 1m BOS, target 2R",557,166,-0.4327320871796262,-0.4586305002993334,0.06726791282037385,0.041369499700666584,-5.442493077764582,18.13285457809695,0.2751835161993979,3.6339385941830913,reject,0,PARENT,PARENT
