state,structure,location,quality,momentum,bars,share_pct,populated
transition|breaking out|messy|contracting,transition,breaking out,messy,contracting,321,0.145,False
uptrend|breaking out|clean|contracting,uptrend,breaking out,clean,contracting,291,0.131,False
uptrend|breaking out|messy|contracting,uptrend,breaking out,messy,contracting,267,0.12,False
transition|breaking down|messy|contracting,transition,breaking down,messy,contracting,261,0.118,False
transition|breaking down|clean|contracting,transition,breaking down,clean,contracting,260,0.117,False
downtrend|breaking down|messy|contracting,downtrend,breaking down,messy,contracting,230,0.104,False
transition|breaking out|messy|stalling,transition,breaking out,messy,stalling,226,0.102,False
transition|breaking out|clean|stalling,transition,breaking out,clean,stalling,220,0.099,False
downtrend|breaking down|clean|contracting,downtrend,breaking down,clean,contracting,215,0.097,False
uptrend|breaking out|messy|stalling,uptrend,breaking out,messy,stalling,212,0.096,False
uptrend|breaking out|clean|stalling,uptrend,breaking out,clean,stalling,211,0.095,False
transition|breaking down|messy|stalling,transition,breaking down,messy,stalling,200,0.09,False
downtrend|breaking down|clean|stalling,downtrend,breaking down,clean,stalling,195,0.088,False
transition|breaking down|clean|stalling,transition,breaking down,clean,stalling,185,0.083,False
downtrend|breaking down|messy|stalling,downtrend,breaking down,messy,stalling,182,0.082,False
downtrend|breaking out|clean|contracting,downtrend,breaking out,clean,contracting,163,0.073,False
uptrend|breaking down|clean|contracting,uptrend,breaking down,clean,contracting,139,0.063,False
downtrend|breaking out|messy|contracting,downtrend,breaking out,messy,contracting,136,0.061,False
uptrend|breaking down|messy|contracting,uptrend,breaking down,messy,contracting,126,0.057,False
downtrend|breaking out|clean|stalling,downtrend,breaking out,clean,stalling,104,0.047,False
downtrend|breaking out|messy|stalling,downtrend,breaking out,messy,stalling,93,0.042,False
uptrend|breaking down|clean|stalling,uptrend,breaking down,clean,stalling,92,0.041,False
uptrend|breaking down|messy|stalling,uptrend,breaking down,messy,stalling,65,0.029,False
chop|mid range|messy|contracting,chop,mid range,messy,contracting,6,0.003,False
chop|at range low|messy|contracting,chop,at range low,messy,contracting,5,0.002,False
chop|at range low|messy|expanding,chop,at range low,messy,expanding,5,0.002,False
range|at range low|clean|contracting,range,at range low,clean,contracting,4,0.002,False
chop|mid range|messy|expanding,chop,mid range,messy,expanding,4,0.002,False
range|mid range|clean|expanding,range,mid range,clean,expanding,3,0.001,False
chop|at range low|messy|stalling,chop,at range low,messy,stalling,2,0.001,False
range|breaking down|clean|expanding,range,breaking down,clean,expanding,2,0.001,False
chop|at range high|messy|contracting,chop,at range high,messy,contracting,2,0.001,False
range|at range low|clean|expanding,range,at range low,clean,expanding,1,0.0,False
chop|mid range|messy|stalling,chop,mid range,messy,stalling,1,0.0,False
chop|at range high|messy|expanding,chop,at range high,messy,expanding,1,0.0,False
