entry_style,session,side,entry_t,entry,stop,target,exit_t,exit,outcome,r,leverage,stop_move_in_price_pct,pnl_on_100k
fvg_midpoint,london,short,2026-07-26 09:05:00,1881.744,1882.517,1878.6519999999994,2026-07-26 09:15:00,1882.517,stopped out,-1.0,73.03016817592484,0.04107891402869563,-11802.470871583384
market_on_signal,asia,long,2026-07-26 00:30:00,1877.179,1871.9,1898.295,2026-07-26 01:00:00,1877.179,break even,0.0,10.66781019132412,0.28121985170300734,-1285.8122994664973
market_on_signal,london,short,2026-07-26 08:15:00,1877.9,1882.517,1859.4320000000002,2026-07-26 09:15:00,1882.517,stopped out,-1.0,12.202079272254814,0.2458597369401971,-4413.255456800514
market_on_signal,new_york,long,2026-07-26 14:05:00,1889.285,1882.29,1917.2650000000006,2026-07-26 16:25:00,1917.2650000000006,target,4.0,8.10272337383832,0.37024588667141894,10395.133787959765
market_on_signal,new_york,long,2026-07-26 14:50:00,1894.645,1889.285,1916.0849999999996,2026-07-26 16:25:00,1916.0849999999996,target,4.0,10.60435634328378,0.28290260180666565,10110.79122484993
