sym,setup,n_tr,n_va,sig_gross_tr,base_gross_tr,lift,t,sig_gross_va
SPY,prev day low sweep -> BOS up [09:30-10:30],313,117,-0.04613781208226898,0.01054941912749579,-0.056687231209764766,-0.8944175124297613,0.14459254613704303
SPY,prev day low sweep -> BOS up [all session],3313,1236,0.021850012113141803,0.0012316708414029749,0.020618341271738828,1.8358335875825278,-0.004548762621207566
SPY,prev day high sweep -> BOS down [09:30-10:30],475,135,0.011610283632985318,-0.01054941912749579,0.02215970276048111,0.3631647355164989,0.2288230678722069
SPY,prev day high sweep -> BOS down [all session],4404,1304,-0.0036711842807847332,-0.0012316708414029749,-0.0024395134393817583,-0.5111187239007929,-0.013936408753929617
SPY,overnight low sweep -> BOS up [09:30-10:30],377,123,-0.0375568596338184,0.01054941912749579,-0.04810627876131419,-0.9912772511865163,-0.04955032529155936
SPY,overnight low sweep -> BOS up [all session],4088,1446,0.002240159709608012,0.0012316708414029749,0.001008488868205037,0.24446836426012625,0.0064494603154124615
SPY,overnight high sweep -> BOS down [09:30-10:30],427,108,-0.02837117059526609,-0.01054941912749579,-0.0178217514677703,-0.8828113641145927,0.040129730352667654
SPY,overnight high sweep -> BOS down [all session],4508,1299,0.003248246624539031,-0.0012316708414029749,0.004479917465942005,0.4266850751254967,-0.03745923793590473
SPY,opening-range low sweep -> BOS up [09:30-10:30],150,64,0.06182687093175929,0.01054941912749579,0.0512774518042635,0.8982009047631275,-0.02521510674572569
SPY,opening-range low sweep -> BOS up [all session],4467,1622,0.015064073805441024,0.0012316708414029749,0.013832402964038048,1.6353434903226767,0.01836366241256246
SPY,opening-range high sweep -> BOS down [09:30-10:30],155,63,-0.028580552960088653,-0.01054941912749579,-0.01803113383259286,-0.5454759697299849,-0.15072815985470744
SPY,opening-range high sweep -> BOS down [all session],4741,1535,0.004424855135017599,-0.0012316708414029749,0.005656525976420574,0.5483484843971201,-0.05204997212307026
