population,long_n,long_gross,long_t,short_n,short_gross,short_t
parent (bare sweep -> 1m BOS),35201,0.18090711086097772,11.67268335084776,35872,0.1067744634794266,9.433908054488747
kept by DAILY,18958,0.16125323040323972,8.188012155005259,16306,0.09094394645445107,5.553707849739017
thrown away by DAILY,16243,0.20384611632288724,9.323595649343204,19566,0.11996737008319082,7.77625369215744
kept by H4,14305,0.1509302725952971,6.923125843040023,13681,0.09829386926105659,5.433484078292947
thrown away by H4,20896,0.20142867821312935,9.490034886380332,22191,0.11200284478272614,8.915953684811583
kept by AGREE,9032,0.15601492903064237,5.732434181564726,7576,0.07699798588738918,3.9799896128516705
thrown away by AGREE,26169,0.18949842830878189,9.88140876973455,28296,0.11474684806513749,9.725584837775942
STAND-DOWN set (he sits these out),15163,0.15404822964891832,7.719770188529617,14814,0.11292477157429044,6.386592810062942
