dataset,config,stop%,target%,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,pooled_win%,pooled_RR,tr/yr,verdict
GBPJPY,ablation(a)-no_engulf mode=both k=3 w=10 buf=0.1 R=2.0,1.7937019165816133,3.5874,46,72.56866406170973,47.82608695652174,33.381585468386476,-12.169514707569519,17,73.76057859625978,47.05882352941176,12.53929836136416,-8.503494762248728,47.61904761904761,1.868758062879454,3.480149727767695,SURVIVOR
GBPJPY,ablation(a)-no_engulf mode=both k=3 w=10 buf=0.1 R=3.0,1.7937019165816133,5.3811,46,32.978419156385314,34.78260869565217,15.170072811937253,-19.310284250629547,17,58.570223985173634,41.17647058823529,9.956938077479528,-9.738411351544698,36.507936507936506,2.3262194216276706,3.480149727767695,SURVIVOR
GBPJPY,ablation(a)-no_engulf mode=both k=3 w=10 buf=0.1 R=4.0,1.7937019165816133,7.1748,46,33.93387830899223,32.608695652173914,15.609584022136413,-19.310284250629643,17,46.7111695450171,41.17647058823529,7.940898822652898,-11.122161267740987,34.92063492063492,2.446125449310586,3.480149727767695,SURVIVOR
GBPJPY,ablation(b)-breakout(no_retest) mode=both k=3 buf=0.1 R=2.0,2.4046203314058285,4.8092,49,-40.94807334180962,32.6530612244898,-20.064555937486716,-36.28597248970241,18,-56.25547727594221,27.77777777777778,-10.125985909669598,-13.0007237204362,31.343283582089555,1.5377486867276786,3.7011116152450088,FAIL
GBPJPY,ablation(b)-breakout(no_retest) mode=both k=3 buf=0.1 R=3.0,2.4046203314058285,7.2139,49,-55.232929806186284,28.57142857142857,-27.064135605031282,-43.331447927897706,18,-80.13184839341699,27.77777777777778,-14.423732710815052,-17.161001472764763,28.35820895522388,1.4708262381728663,3.7011116152450088,FAIL
GBPJPY,ablation(b)-breakout(no_retest) mode=both k=3 buf=0.1 R=4.0,2.4046203314058285,9.6185,49,-52.836991604574905,28.57142857142857,-25.890125886241698,-42.06052362064838,18,-80.13184839341699,27.77777777777778,-14.423732710815052,-17.161001472764763,28.35820895522388,1.4983714169360078,3.7011116152450088,FAIL
GBPJPY,ablation(c)-trend_filter_on mode=both k=3 w=10 buf=0.1 R=2.0,2.0784433475303725,4.1569,5,36.63428108175394,40.0,1.8317140540877075,-4.130373099189812,0,0.0,0.0,0.0,0.0,40.0,1.9243902199876866,0.27620235934664245,INSUFFICIENT-SAMPLE
GBPJPY,ablation(c)-trend_filter_on mode=both k=3 w=10 buf=0.1 R=3.0,2.0784433475303725,6.2353,5,13.324882485197667,40.0,0.6662441242598849,-7.420198187448053,0,0.0,0.0,0.0,0.0,40.0,1.6555688014366445,0.27620235934664245,INSUFFICIENT-SAMPLE
GBPJPY,ablation(c)-trend_filter_on mode=both k=3 w=10 buf=0.1 R=4.0,2.0784433475303725,8.3138,5,1.7300134517434345,40.0,0.08650067258717531,-7.42019818744801,0,0.0,0.0,0.0,0.0,40.0,1.520276849952915,0.27620235934664245,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=2 w=5 buf=0.1 R=2.0,3.98960961117842,7.9792,5,-235.07495549820777,20.0,-11.753747774910384,-17.49782720764482,1,-400.4410620711842,0.0,-4.00441062071184,-4.004410620711842,16.666666666666664,0.9017068223825327,0.28953626634958385,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=2 w=5 buf=0.1 R=3.0,3.98960961117842,11.9688,5,-235.07495549820777,20.0,-11.753747774910384,-17.49782720764482,1,-400.4410620711842,0.0,-4.00441062071184,-4.004410620711842,16.666666666666664,0.9017068223825327,0.28953626634958385,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=2 w=5 buf=0.1 R=4.0,3.98960961117842,15.9584,5,-235.07495549820777,20.0,-11.753747774910384,-17.49782720764482,1,-400.4410620711842,0.0,-4.00441062071184,-4.004410620711842,16.666666666666664,0.9017068223825327,0.28953626634958385,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=2 w=5 buf=0.2 R=2.0,4.08960961117842,8.1792,5,-242.41787031429303,20.0,-12.120893515714648,-17.755394848958048,1,-410.44056204618573,0.0,-4.1044056204618595,-4.104405620461858,16.666666666666664,0.8780509790729991,0.28953626634958385,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=2 w=5 buf=0.2 R=3.0,4.08960961117842,12.2688,5,-242.41787031429303,20.0,-12.120893515714648,-17.755394848958048,1,-410.44056204618573,0.0,-4.1044056204618595,-4.104405620461858,16.666666666666664,0.8780509790729991,0.28953626634958385,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=2 w=5 buf=0.2 R=4.0,4.08960961117842,16.3584,5,-242.41787031429303,20.0,-12.120893515714648,-17.755394848958048,1,-410.44056204618573,0.0,-4.1044056204618595,-4.104405620461858,16.666666666666664,0.8780509790729991,0.28953626634958385,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=2 w=10 buf=0.1 R=2.0,3.198359444338943,6.3967,11,-4.039869415443305,36.36363636363637,-0.444385635698763,-16.352216610048202,3,-11.354104018078942,33.33333333333333,-0.34062312054237154,-9.508971263919177,35.714285714285715,1.7525032110551864,0.6755846214823623,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=2 w=10 buf=0.1 R=3.0,3.198359444338943,9.5951,11,-186.57138979755274,18.181818181818183,-20.522852877730802,-28.49976639828138,3,88.51757535549223,33.33333333333333,2.6555272606647584,-9.508971263919177,21.428571428571427,1.654412499546142,0.6755846214823623,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=2 w=10 buf=0.1 R=4.0,3.198359444338943,12.7934,11,-186.57138979755274,18.181818181818183,-20.522852877730802,-28.49976639828138,3,188.38613217780826,33.33333333333333,5.65158396533425,-9.508971263919177,21.428571428571427,1.9918344348771966,0.6755846214823623,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=2 w=10 buf=0.2 R=2.0,3.298359444338943,6.5967,11,-5.488317795668991,36.36363636363637,-0.6037149575235934,-16.697389819811498,3,-11.982894313909734,33.33333333333333,-0.35948682941728816,-9.695865406138871,35.714285714285715,1.7435169771002812,0.6755846214823623,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=2 w=10 buf=0.2 R=3.0,3.298359444338943,9.8951,11,-193.26221926563085,18.181818181818183,-21.25884411921939,-29.088618668126937,3,90.79861889326942,33.33333333333333,2.7239585667980792,-9.695865406138871,21.428571428571427,1.635622817776895,0.6755846214823623,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=2 w=10 buf=0.2 R=4.0,3.298359444338943,13.1934,11,-193.26221926563085,18.181818181818183,-21.25884411921939,-29.088618668126937,3,193.57701599830094,33.33333333333333,5.807310479949024,-9.695865406138871,21.428571428571427,1.9734950382152696,0.6755846214823623,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=3 w=5 buf=0.1 R=2.0,3.9559246854269396,7.9118,3,-381.52687518850934,0.0,-11.445806255655278,-11.44580625565528,0,0.0,0.0,0.0,0.0,0.0,,0.14476813317479192,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=3 w=5 buf=0.1 R=3.0,3.9559246854269396,11.8678,3,-381.52687518850934,0.0,-11.445806255655278,-11.44580625565528,0,0.0,0.0,0.0,0.0,0.0,,0.14476813317479192,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=3 w=5 buf=0.1 R=4.0,3.9559246854269396,15.8237,3,-381.52687518850934,0.0,-11.445806255655278,-11.44580625565528,0,0.0,0.0,0.0,0.0,0.0,,0.14476813317479192,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=3 w=5 buf=0.2 R=2.0,4.055924685426939,8.1118,3,-390.7387181506886,0.0,-11.72216154452066,-11.72216154452066,0,0.0,0.0,0.0,0.0,0.0,,0.14476813317479192,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=3 w=5 buf=0.2 R=3.0,4.055924685426939,12.1678,3,-390.7387181506886,0.0,-11.72216154452066,-11.72216154452066,0,0.0,0.0,0.0,0.0,0.0,,0.14476813317479192,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=3 w=5 buf=0.2 R=4.0,4.055924685426939,16.2237,3,-390.7387181506886,0.0,-11.72216154452066,-11.72216154452066,0,0.0,0.0,0.0,0.0,0.0,,0.14476813317479192,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=3 w=10 buf=0.1 R=2.0,3.5209854233808833,7.042,9,-307.49645022097565,0.0,-27.674680519887808,-29.113188421015906,1,703.1999482395004,100.0,7.031999482395013,-0.23679807315389292,10.0,2.2868554994184844,0.482560443915973,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=3 w=10 buf=0.1 R=3.0,3.5209854233808833,10.563,9,-307.49645022097565,0.0,-27.674680519887808,-29.113188421015906,1,1055.2999473592517,100.0,10.552999473592518,-2.0904993142376522,10.0,3.4319093654605877,0.482560443915973,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=3 w=10 buf=0.1 R=4.0,3.5209854233808833,14.0839,9,-307.49645022097565,0.0,-27.674680519887808,-29.113188421015906,1,1407.3899464790247,100.0,14.073899464790252,-2.0904993142376522,10.0,4.57693071080214,0.482560443915973,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=3 w=10 buf=0.2 R=2.0,3.6209854233808834,7.242,9,-314.9629546000894,0.0,-28.34666591400804,-29.77180842241015,1,723.1999481895,100.0,7.231999481894991,-0.23679807315389292,10.0,2.296142888003295,0.482560443915973,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=3 w=10 buf=0.2 R=3.0,3.6209854233808834,10.863,9,-314.9629546000894,0.0,-28.34666591400804,-29.77180842241015,1,1085.2999472842512,100.0,10.852999472842505,-2.0904993142376522,10.0,3.445801899662339,0.482560443915973,INSUFFICIENT-SAMPLE
GOLD,main mode=reversal k=3 w=10 buf=0.2 R=4.0,3.6209854233808834,14.4839,9,-314.9629546000894,0.0,-28.34666591400804,-29.77180842241015,1,1447.3899463790276,100.0,14.473899463790275,-6.4762970732217,10.0,4.595429161555804,0.482560443915973,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=2 w=5 buf=0.1 R=2.0,2.82047518883747,5.641,6,-264.1875848519133,0.0,-15.851255091114801,-17.524923943068227,1,-97.85453763139594,0.0,-0.9785453763139551,-5.921813612873697,0.0,,0.33779231074118116,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=2 w=5 buf=0.1 R=3.0,2.82047518883747,8.4614,6,-264.1875848519133,0.0,-15.851255091114801,-17.524923943068227,1,-97.85453763139594,0.0,-0.9785453763139551,-5.921813612873697,0.0,,0.33779231074118116,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=2 w=5 buf=0.1 R=4.0,2.82047518883747,11.2819,6,-264.1875848519133,0.0,-15.851255091114801,-17.524923943068227,1,-97.85453763139594,0.0,-0.9785453763139551,-5.921813612873697,0.0,,0.33779231074118116,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=2 w=5 buf=0.2 R=2.0,2.9204751888374703,5.841,6,-272.8256237994462,0.0,-16.369537427966772,-18.03289795025175,1,-97.85453763139594,0.0,-0.9785453763139551,-5.921813612873697,0.0,,0.33779231074118116,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=2 w=5 buf=0.2 R=3.0,2.9204751888374703,8.7614,6,-272.8256237994462,0.0,-16.369537427966772,-18.03289795025175,1,-97.85453763139594,0.0,-0.9785453763139551,-5.921813612873697,0.0,,0.33779231074118116,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=2 w=5 buf=0.2 R=4.0,2.9204751888374703,11.6819,6,-272.8256237994462,0.0,-16.369537427966772,-18.03289795025175,1,-97.85453763139594,0.0,-0.9785453763139551,-5.921813612873697,0.0,,0.33779231074118116,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=2 w=10 buf=0.1 R=2.0,2.364155971942768,4.7283,14,-127.56561284985193,14.285714285714285,-17.859185798979272,-19.49291809470393,3,-6.833620794436986,33.33333333333333,-0.2050086238331139,-2.816450759367954,17.647058823529413,1.9410430500793894,0.8203527546571542,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=2 w=10 buf=0.1 R=3.0,2.364155971942768,7.0925,14,-100.7740769538168,14.285714285714285,-14.10837077353435,-15.816704565506207,3,-232.28888590651877,0.0,-6.96866657719556,-8.409743437746698,11.76470588235294,2.7969047745537936,0.8203527546571542,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=2 w=10 buf=0.1 R=4.0,2.364155971942768,9.4566,14,-73.38559786946605,14.285714285714285,-10.273983701725243,-13.115177766818418,3,-232.28888590651877,0.0,-6.96866657719556,-8.409743437746698,11.76470588235294,3.7126439122660746,0.8203527546571542,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=2 w=10 buf=0.2 R=2.0,2.464155971942768,4.9283,14,-132.52130895617483,14.285714285714285,-18.552983253864475,-20.172916327853116,3,-241.80850377436946,0.0,-7.254255113231078,-8.597282607030913,11.76470588235294,1.8679644197673622,0.8203527546571542,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=2 w=10 buf=0.2 R=3.0,2.464155971942768,7.3925,14,-104.87276655799049,14.285714285714285,-14.682187318118666,-16.37910823781957,3,-241.80850377436946,0.0,-7.254255113231078,-8.597282607030913,11.76470588235294,2.7903441186382323,0.8203527546571542,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=2 w=10 buf=0.2 R=4.0,2.464155971942768,9.8566,14,-76.58354556205151,14.285714285714285,-10.721696378687206,-13.559283155567334,3,-241.80850377436946,0.0,-7.254255113231078,-8.597282607030913,11.76470588235294,3.703246375736912,0.8203527546571542,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=3 w=5 buf=0.1 R=2.0,4.220292053392153,8.4406,5,-176.088301655541,20.0,-8.804415082777052,-15.292973050294187,1,-97.85453763139594,0.0,-0.9785453763139551,-5.921813612873697,16.666666666666664,2.1539852531293935,0.28953626634958385,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=3 w=5 buf=0.1 R=3.0,4.220292053392153,12.6609,5,-105.09861278291427,20.0,-5.254930639145716,-15.292973050294187,1,-97.85453763139594,0.0,-0.9785453763139551,-5.921813612873697,16.666666666666664,3.2029991270986566,0.28953626634958385,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=3 w=5 buf=0.1 R=4.0,4.220292053392153,16.8812,5,-34.10892391028683,20.0,-1.7054461955143374,-15.292973050294187,1,-97.85453763139594,0.0,-0.9785453763139551,-5.921813612873697,16.666666666666664,4.233193346854845,0.28953626634958385,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=3 w=5 buf=0.2 R=2.0,4.320292053392153,8.6406,5,-180.34451020177548,20.0,-9.017225510088778,-15.55805128824899,1,-97.85453763139594,0.0,-0.9785453763139551,-5.921813612873697,16.666666666666664,2.1525041513875105,0.28953626634958385,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=3 w=5 buf=0.2 R=3.0,4.320292053392153,12.9609,5,-107.97578876721272,20.0,-5.398789438360641,-15.55805128824899,1,-97.85453763139594,0.0,-0.9785453763139551,-5.921813612873697,16.666666666666664,3.2001046934681288,0.28953626634958385,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=3 w=5 buf=0.2 R=4.0,4.320292053392153,17.2812,5,-35.60706733265215,20.0,-1.7803533666326032,-15.55805128824899,1,-97.85453763139594,0.0,-0.9785453763139551,-5.921813612873697,16.666666666666664,4.228488826044608,0.28953626634958385,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=3 w=10 buf=0.1 R=2.0,4.220292053392153,8.4406,7,-233.79471276585016,14.285714285714285,-16.365629893609512,-22.316208082286813,2,-258.6092355031569,0.0,-5.172184710063144,-8.862133688515762,11.11111111111111,1.9176073087178467,0.4343043995243757,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=3 w=10 buf=0.1 R=3.0,4.220292053392153,12.6609,7,-187.29200794505985,14.285714285714285,-13.11044055615419,-22.316208082286813,2,-258.6092355031569,0.0,-5.172184710063144,-8.862133688515762,11.11111111111111,2.8629977232254005,0.4343043995243757,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=3 w=10 buf=0.1 R=4.0,4.220292053392153,16.8812,7,-140.7893031242711,14.285714285714285,-9.85525121869898,-22.316208082286813,2,-258.6092355031569,0.0,-5.172184710063144,-8.862133688515762,11.11111111111111,3.798875333568839,0.4343043995243757,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=3 w=10 buf=0.2 R=2.0,4.320292053392153,8.6406,7,-239.07090801481405,14.285714285714285,-16.734963561036984,-22.720954863377518,2,-263.56006066832833,0.0,-5.271201213366572,-8.957297252213891,11.11111111111111,1.9128145406414587,0.4343043995243757,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=3 w=10 buf=0.2 R=3.0,4.320292053392153,12.9609,7,-191.76380383985062,14.285714285714285,-13.423466268789541,-22.720954863377518,2,-263.56006066832833,0.0,-5.271201213366572,-8.957297252213891,11.11111111111111,2.8555123586160978,0.4343043995243757,INSUFFICIENT-SAMPLE
GOLD,main mode=continuation k=3 w=10 buf=0.2 R=4.0,4.320292053392153,17.2812,7,-144.45669966488848,14.285714285714285,-10.111968976542196,-22.720954863377518,2,-263.56006066832833,0.0,-5.271201213366572,-8.957297252213891,11.11111111111111,3.788527080127045,0.4343043995243757,INSUFFICIENT-SAMPLE
GOLD,main mode=both k=2 w=5 buf=0.1 R=2.0,3.5771420648829415,7.1543,10,-252.33119826020993,10.0,-25.23311982602099,-28.984741590480716,2,-226.76800402225126,0.0,-4.535360080445027,-8.250089239526382,8.333333333333332,0.9841262477298324,0.5790725326991677,INSUFFICIENT-SAMPLE
GOLD,main mode=both k=2 w=5 buf=0.1 R=3.0,3.5771420648829415,10.7314,10,-252.33119826020993,10.0,-25.23311982602099,-28.984741590480716,2,-226.76800402225126,0.0,-4.535360080445027,-8.250089239526382,8.333333333333332,0.9841262477298324,0.5790725326991677,INSUFFICIENT-SAMPLE
GOLD,main mode=both k=2 w=5 buf=0.1 R=4.0,3.5771420648829415,14.3086,10,-252.33119826020993,10.0,-25.23311982602099,-28.984741590480716,2,-226.76800402225126,0.0,-4.535360080445027,-8.250089239526382,8.333333333333332,0.9841262477298324,0.5790725326991677,INSUFFICIENT-SAMPLE
GOLD,main mode=both k=2 w=5 buf=0.2 R=2.0,3.6771420648829416,7.3543,10,-259.2820105665129,10.0,-25.92820105665129,-29.57188928203469,2,-231.71882918742085,0.0,-4.634376583748412,-8.345252803224476,8.333333333333332,0.9535343093528537,0.5790725326991677,INSUFFICIENT-SAMPLE
