session,n,mean_ret,mean_abs_ret,shuffle_mean,percentile
Asia,4024,0.001975790819201361,0.2092624777298082,0.32619571906444944,0.0
London,2976,-0.004324069155592788,0.3799972435192333,0.3250814286294538,100.0
NY,5370,0.0013221985341784048,0.40699236199264277,0.32524067146984537,100.0
Off/maintenance,1157,-0.026495466995906113,0.21153509812462348,0.3255339573197917,0.0
