tool,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,hold_hours,stop_pct,leverage,notional,gross_pnl,fees,funding_cost,net_pnl,overlap_tag
O-DONCH,1,2016-09-29 04:00:00+00:00,47.83000183105469,2016-11-14 05:00:00+00:00,42.54999923706055,structure_floor,1105.0,11.039101801927973,10,2500.0,-275.9775450481993,0.9448044909903601,0.0,-276.92234953918967,transfer-assumption
O-DONCH,1,2016-11-30 05:00:00+00:00,49.439998626708984,2017-03-08 05:00:00+00:00,51.220001220703125,structure_floor,2352.0,14.644009030894805,10,2500.0,90.0082242838357,1.0180016448567673,0.0,88.99022263897893,transfer-assumption
O-DONCH,1,2017-04-07 04:00:00+00:00,52.2400016784668,2017-05-04 04:00:00+00:00,47.0099983215332,structure_floor,648.0,10.011491556075866,10,2500.0,-250.28728890189666,0.9499425422196207,0.0,-251.23723144411628,transfer-assumption
O-DONCH,1,2017-05-22 04:00:00+00:00,50.72999954223633,2017-06-20 04:00:00+00:00,43.7599983215332,structure_floor,696.0,13.739407221756633,10,2500.0,-343.4851805439158,0.9313029638912168,0.0,-344.416483507807,transfer-assumption
O-DONCH,1,2017-07-25 04:00:00+00:00,47.88999938964844,2017-08-28 04:00:00+00:00,46.459999084472656,structure_floor,816.0,8.853618537915494,10,2500.0,-74.65025701612767,0.9850699485967743,0.0,-75.63532696472444,transfer-assumption
O-DIP,1,2017-10-04 04:00:00+00:00,49.97999954223633,2017-10-05 04:00:00+00:00,50.790000915527344,signal_exit,24.0,,10,2500.0,40.51627554570664,1.0081032551091413,0.0,39.5081722905975,transfer-assumption
O-DIP,1,2017-11-15 05:00:00+00:00,55.33000183105469,2017-11-17 05:00:00+00:00,56.54999923706055,signal_exit,48.0,,10,2500.0,55.123683608895156,1.011024736721779,0.0,54.11265887217338,transfer-assumption
O-DONCH,1,2017-09-14 04:00:00+00:00,49.88999938964844,2018-02-07 05:00:00+00:00,62.849998474121094,structure_floor,3505.0,8.639001024898834,10,2500.0,649.4287053028957,1.1298857410605792,0.0,648.2988195618351,transfer-assumption
O-DIP,1,2018-02-07 05:00:00+00:00,61.790000915527344,2018-02-14 05:00:00+00:00,60.599998474121094,signal_exit,168.0,,10,2500.0,-48.1470474095434,0.9903705905180912,0.0,-49.13741800006149,transfer-assumption
O-DONCH,1,2018-03-21 04:00:00+00:00,65.16999816894531,2018-05-29 04:00:00+00:00,66.8499984741211,structure_floor,1656.0,8.009816714239657,10,2500.0,64.44684488177306,1.0128893689763547,0.0,63.43395551279671,transfer-assumption
O-DIP,1,2018-05-25 04:00:00+00:00,67.87999725341797,2018-06-07 04:00:00+00:00,65.94999694824219,signal_exit,312.0,,10,2500.0,-71.08133409207673,0.9857837331815846,0.0,-72.06711782525832,transfer-assumption
O-DONCH,1,2018-06-26 04:00:00+00:00,70.52999877929688,2018-08-02 04:00:00+00:00,67.02999877929688,structure_floor,888.0,9.839782712070777,10,2500.0,-124.06068554432534,0.9751878628911349,0.0,-125.03587340721647,transfer-assumption
O-DIP,1,2018-08-15 04:00:00+00:00,65.01000213623047,2018-08-20 04:00:00+00:00,66.43000030517578,signal_exit,120.0,,10,2500.0,54.60691133226171,1.0109213822664525,0.0,53.59598994999526,transfer-assumption
O-DIP,1,2018-09-10 04:00:00+00:00,67.54000091552734,2018-09-11 04:00:00+00:00,69.25,signal_exit,24.0,,10,2500.0,63.29578995014235,1.0126591579900286,0.0,62.28313079215232,transfer-assumption
O-DONCH,1,2018-08-30 04:00:00+00:00,70.25,2018-10-23 04:00:00+00:00,66.86000061035156,structure_floor,1296.0,8.284697074482873,10,2500.0,-120.64054767432162,0.9758718904651356,0.0,-121.61641956478675,transfer-assumption
O-DIP,1,2018-10-18 04:00:00+00:00,68.6500015258789,2018-10-26 04:00:00+00:00,67.58999633789062,signal_exit,192.0,,10,2500.0,-38.601790401588424,0.9922796419196824,0.0,-39.594070043508104,transfer-assumption
O-DONCH,1,2019-01-18 05:00:00+00:00,53.79999923706055,2019-02-11 05:00:00+00:00,51.33000183105469,structure_floor,576.0,21.263938269405127,10,2500.0,-114.77683276175506,0.977044633447649,0.0,-115.75387739520271,transfer-assumption
O-DONCH,1,2019-02-19 05:00:00+00:00,56.09000015258789,2019-03-08 05:00:00+00:00,55.02000045776367,structure_floor,408.0,8.664647169068212,10,2500.0,-47.691196822668,0.9904617606354664,0.0,-48.68165858330347,transfer-assumption
