family,config,tf,asset,tr_n,tr_exp,tr_win%,tr_dd%,tr_ret%,va_n,va_exp,va_win%,va_dd%,va_ret%,med_hold_h,mean_hold_h,stop_%price,target_%price,stop_%margin_at_20x,size_frac_leverage,round_trip_cost_bps,edge_%notional_per_trade,edge_x_cost,k,verdict,n_events,buffer_pct,trades_yr,max_wait,threshold,gate_name,vmult,hold_h,caveat,disp_mult,thresh,mode,positive_both,shape_key,gld_gcf_transfer
2-regular-div-confirmed,RSI14 k5 regular+CONFIRM wait10 buf0.15%,4h,GLD,6,-42.76721087722186,33.33333333333333,-2.748969093074721,-2.56603265263331,0,0.0,0.0,0.0,0.0,298.0,274.0,3.317488666374505,8.293721665936262,66.35,0.3014328308445567,4.0,-1.4187973737763195,-35.46993434440799,5,FAIL,8,0.15,2.584316037735849,10.0,,,,,,,,,False,"('2-regular-div-confirmed', '4h', 'RSI14 k5 regular+CONFIRM wait10 buf0.15%')",FAILS
2-regular-div-confirmed,RSI14 k5 regular+CONFIRM wait10 buf0.35%,4h,GLD,6,-43.14835388948146,33.33333333333333,-2.7614140580811886,-2.58890123336889,0,0.0,0.0,0.0,0.0,298.0,274.0,3.517488666374505,8.793721665936262,70.35,0.2842937376201145,4.0,-1.5177384577896733,-37.943461444741835,5,FAIL,8,0.35,2.584316037735849,10.0,,,,,,,,,False,"('2-regular-div-confirmed', '4h', 'RSI14 k5 regular+CONFIRM wait10 buf0.35%')",FAILS
2-regular-div-confirmed,RSI14 k5 regular+CONFIRM wait20 buf0.15%,4h,GLD,7,-40.26619054167687,28.57142857142857,-3.028033936772725,-2.8186333379173867,1,-48.504464943043786,0.0,-1.3571760673564497,-0.4850446494304328,298.0,281.0,2.889906154697742,7.224765386744355,57.8,0.3460319977430516,4.0,-1.1934149185969891,-29.835372964924726,5,FAIL,10,0.15,3.445754716981132,20.0,,,,,,,,,False,"('2-regular-div-confirmed', '4h', 'RSI14 k5 regular+CONFIRM wait20 buf0.15%')",FAILS
2-regular-div-confirmed,RSI14 k5 regular+CONFIRM wait20 buf0.35%,4h,GLD,7,-40.402685113462994,28.57142857142857,-3.0240427689911398,-2.8281879579424074,1,-45.36492202396403,0.0,-1.2697095625431454,-0.45364922023963805,298.0,281.5,3.089906154697742,7.724765386744355,61.8,0.323634424456435,4.0,-1.2675711119475732,-31.689277798689332,5,FAIL,10,0.35,3.445754716981132,20.0,,,,,,,,,False,"('2-regular-div-confirmed', '4h', 'RSI14 k5 regular+CONFIRM wait20 buf0.35%')",FAILS
2-regular-div-confirmed,RSI14 k8 regular+CONFIRM wait10 buf0.15%,4h,GLD,4,-40.245060625656606,25.0,-2.398751808489365,-1.6098024250262633,0,0.0,0.0,0.0,0.0,288.0,234.0,3.8289955069944743,9.572488767486186,76.58,0.2611651014406487,4.0,-1.540981563143594,-38.52453907858985,8,FAIL,4,0.15,1.722877358490566,10.0,,,,,,,,,False,"('2-regular-div-confirmed', '4h', 'RSI14 k8 regular+CONFIRM wait10 buf0.15%')",FAILS
2-regular-div-confirmed,RSI14 k8 regular+CONFIRM wait10 buf0.35%,4h,GLD,4,-39.589374852725086,25.0,-2.339357100665506,-1.583574994109005,0,0.0,0.0,0.0,0.0,288.0,234.0,4.0,10.0,80.0,0.25,4.0,-1.5835749941090036,-39.589374852725086,8,FAIL,4,0.35,1.722877358490566,10.0,,,,,,,,,False,"('2-regular-div-confirmed', '4h', 'RSI14 k8 regular+CONFIRM wait10 buf0.35%')",FAILS
2-regular-div-confirmed,RSI14 k8 regular+CONFIRM wait20 buf0.15%,4h,GLD,4,-40.245060625656606,25.0,-2.398751808489365,-1.6098024250262633,0,0.0,0.0,0.0,0.0,288.0,234.0,3.8289955069944743,9.572488767486186,76.58,0.2611651014406487,4.0,-1.540981563143594,-38.52453907858985,8,FAIL,4,0.15,1.722877358490566,20.0,,,,,,,,,False,"('2-regular-div-confirmed', '4h', 'RSI14 k8 regular+CONFIRM wait20 buf0.15%')",FAILS
2-regular-div-confirmed,RSI14 k8 regular+CONFIRM wait20 buf0.35%,4h,GLD,4,-39.589374852725086,25.0,-2.339357100665506,-1.583574994109005,0,0.0,0.0,0.0,0.0,288.0,234.0,4.0,10.0,80.0,0.25,4.0,-1.5835749941090036,-39.589374852725086,8,FAIL,4,0.35,1.722877358490566,20.0,,,,,,,,,False,"('2-regular-div-confirmed', '4h', 'RSI14 k8 regular+CONFIRM wait20 buf0.35%')",FAILS
2-regular-div-confirmed,MACDhist k5 regular+CONFIRM wait10 buf0.15%,4h,GLD,6,-29.910996394917067,33.33333333333333,-2.6245797425679407,-1.7946597836950295,0,0.0,0.0,0.0,0.0,304.0,304.6666666666667,3.0737246338087867,7.684311584521967,61.47,0.32533818709740964,4.0,-0.9193816644082241,-22.984541610205603,5,FAIL,10,0.15,2.584316037735849,10.0,,,,,,,,,False,"('2-regular-div-confirmed', '4h', 'MACDhist k5 regular+CONFIRM wait10 buf0.15%')",FAILS
2-regular-div-confirmed,MACDhist k5 regular+CONFIRM wait10 buf0.35%,4h,GLD,6,-30.07248563763581,33.33333333333333,-2.592691719695394,-1.8043491382581434,0,0.0,0.0,0.0,0.0,304.0,304.6666666666667,3.2368932654425477,8.09223316360637,64.74,0.3089382064821591,4.0,-0.9734142623558109,-24.33535655889527,5,FAIL,10,0.35,2.584316037735849,10.0,,,,,,,,,False,"('2-regular-div-confirmed', '4h', 'MACDhist k5 regular+CONFIRM wait10 buf0.35%')",FAILS
2-regular-div-confirmed,MACDhist k5 regular+CONFIRM wait20 buf0.15%,4h,GLD,9,-30.853824251951664,33.33333333333333,-3.377243744191821,-2.776844182675653,1,-44.504603905737895,0.0,-1.2457322930093593,-0.44504603905738405,290.0,280.8,3.149637104199819,7.874092760499547,62.99,0.3174968946951287,4.0,-1.014778498802893,-25.369462470072325,5,FAIL,14,0.15,4.307193396226415,20.0,,,,,,,,,False,"('2-regular-div-confirmed', '4h', 'MACDhist k5 regular+CONFIRM wait20 buf0.15%')",FAILS
2-regular-div-confirmed,MACDhist k5 regular+CONFIRM wait20 buf0.35%,4h,GLD,9,-30.9738162797617,33.33333333333333,-3.354123106227226,-2.7876434651785575,1,-41.96987719022036,0.0,-1.175066026281966,-0.4196987719021994,290.0,285.2,3.3398561338152253,8.349640334538064,66.8,0.29941409448007206,4.0,-1.071206164375881,-26.780154109397024,5,FAIL,14,0.35,4.307193396226415,20.0,,,,,,,,,False,"('2-regular-div-confirmed', '4h', 'MACDhist k5 regular+CONFIRM wait20 buf0.35%')",FAILS
2-regular-div-confirmed,MACDhist k8 regular+CONFIRM wait10 buf0.15%,4h,GLD,5,-38.06938554043008,20.0,-2.398435221488283,-1.9034692770215078,0,0.0,0.0,0.0,0.0,288.0,278.4,3.829868488553075,9.574671221382689,76.6,0.26110557137636864,4.0,-1.4580074005987125,-36.450185014967815,8,FAIL,6,0.15,2.1535966981132075,10.0,,,,,,,,,False,"('2-regular-div-confirmed', '4h', 'MACDhist k8 regular+CONFIRM wait10 buf0.15%')",FAILS
2-regular-div-confirmed,MACDhist k8 regular+CONFIRM wait10 buf0.35%,4h,GLD,5,-37.29919731085829,20.0,-2.3393571006655502,-1.8649598655429145,0,0.0,0.0,0.0,0.0,288.0,278.4,4.0,10.0,80.0,0.25,4.0,-1.4919678924343316,-37.29919731085829,8,FAIL,6,0.35,2.1535966981132075,10.0,,,,,,,,,False,"('2-regular-div-confirmed', '4h', 'MACDhist k8 regular+CONFIRM wait10 buf0.35%')",FAILS
