name,n_tr,n_va,mean_tr,mean_va,gross_tr,gross_va,R_tr,win_tr,stop_tr,lev,verdict,n_assets_pos,arm
"prev day low -> 1m BOS, hold to close",1226,468,0.0581781437667037,0.003221577924372436,0.09817814376670371,0.04322157792437244,0.010625478960652334,31.64763458401305,0.14956240872717702,6.686172070310404,qualifies,2,B
"last session high -> 1m BOS, hold to close",1947,639,0.04848079096478758,0.028266152482249902,0.08848079096478759,0.06826615248224989,-0.25671534593322887,26.348228043143294,0.1170815147870986,8.541057927192035,qualifies,2,B
"prev day low -> 1m BOS, target 3R",1226,468,0.045731858125504704,0.05010051419543963,0.0857318581255047,0.09010051419543964,-0.12488154796101719,40.61990212071778,0.14956240872717702,6.686172070310404,qualifies,2,B
"prev day high -> 1m BOS, hold to close",1233,383,0.0432603698378606,0.10019863332407758,0.0832603698378606,0.14019863332407762,0.045695537228704446,26.35847526358475,0.10201987095170373,9.80201200679229,qualifies,2,B
"4h swing low -> 1m BOS, hold to close",1283,542,0.0430756182430858,0.06569972085790649,0.0830756182430858,0.10569972085790647,0.03389157811694543,32.268121590023384,0.1527999821276506,6.544503383283057,qualifies,2,B
"last session low -> 1m BOS, hold to close",2142,735,0.04146322628851632,0.04398451675645749,0.08146322628851634,0.08398451675645749,-0.010877226716469344,31.372549019607842,0.14572911089158735,6.8620469436880915,qualifies,2,B
"4h swing high -> 1m BOS, hold to close",1364,500,0.040540511270981176,0.05558216058947211,0.08054051127098118,0.0955821605894721,-0.09013181797618312,25.0,0.10714440181961567,9.33319877676449,qualifies,2,B
"1h swing low -> 1m BOS, hold to close",2441,806,0.03498716777567111,0.039833295173943885,0.07498716777567113,0.0798332951739439,-0.19778354792090413,30.151577222449816,0.1449683689425829,6.89805650221578,qualifies,2,B
"prev day low -> 1m BOS, target 2R",1226,468,0.03379961934638461,0.034697730882862196,0.0737996193463846,0.0746977308828622,-0.25190804013050794,46.7373572593801,0.14956240872717702,6.686172070310404,qualifies,2,B
"4h swing low -> 1m BOS, target 3R",1283,542,0.030753324099592482,0.04796530353079722,0.0707533240995925,0.08796530353079722,-0.17369729618608798,38.89321901792673,0.1527999821276506,6.544503383283057,qualifies,2,B
"1h swing high -> 1m BOS, hold to close",2442,773,0.028985933030803435,0.0016978065621631087,0.06898593303080344,0.04169780656216311,-0.08416593583879318,25.184275184275183,0.10480741275190002,9.541309853408926,qualifies,2,B
"4h swing low -> 1m BOS, target 2R",1283,542,0.028405110306212802,0.03393975656228476,0.06840511030621281,0.07393975656228477,-0.24873259330714134,45.362431800467654,0.1527999821276506,6.544503383283057,qualifies,2,B
"last session low -> 1m BOS, target 3R",2142,735,0.026686738043519176,0.041228049340562574,0.06668673804351917,0.08122804934056257,-0.15225760205808414,39.12231559290383,0.14572911089158735,6.8620469436880915,qualifies,2,B
"last session high -> 1m BOS, target 3R",1947,639,0.02666044047983181,0.02512075563137526,0.06666044047983181,0.06512075563137526,-0.5885642419130916,39.85618900873138,0.1170815147870986,8.541057927192035,qualifies,2,B
"last session low -> 1m BOS, target 2R",2142,735,0.025868971319520435,0.034026801006776616,0.06586897131952045,0.07402680100677662,-0.217930672190947,45.89169000933707,0.14572911089158735,6.8620469436880915,qualifies,2,B
"1h swing low -> 1m BOS, target 3R",2441,806,0.025430462673747392,0.0276408926574147,0.06543046267374739,0.0676408926574147,-0.24622838203193073,37.64850471118394,0.1449683689425829,6.89805650221578,qualifies,2,B
"1h swing low -> 1m BOS, target 2R",2441,806,0.022907442613237617,0.008793511687460478,0.06290744261323762,0.048793511687460475,-0.28343755094256373,44.81769766489144,0.1449683689425829,6.89805650221578,qualifies,2,B
"4h swing high -> 1m BOS, target 3R",1364,500,0.020290067584328483,0.047309511146958756,0.06029006758432849,0.08730951114695876,-0.27710173607569555,38.78299120234604,0.10714440181961567,9.33319877676449,qualifies,2,B
"last session high -> 1m BOS, target 2R",1947,639,0.01980005081163502,0.012621846972082887,0.059800050811635024,0.05262184697208289,-0.7083952556196469,46.99537750385208,0.1170815147870986,8.541057927192035,qualifies,2,B
"prev day high -> 1m BOS, target 3R",1233,383,0.016270486451222924,0.07965590736574252,0.05627048645122293,0.11965590736574253,-0.23320575521893575,39.416058394160586,0.10201987095170373,9.80201200679229,qualifies,2,B
