year,slice,entries,days,gross_1m,t_by_day,grossR_1m,netR_1m,gross_5m,gross_ctl
2021,choosing,13890,365,0.2908048863314783,8.464406876835772,0.8323026969836681,-7.880409402891948,0.1639581835713534,0.06043012963728519
2022,choosing,13956,365,0.17999840316504856,8.118572219221317,0.8142821247845615,-5.337525586014821,0.1062423923492591,0.04175632822828851
2023,choosing,11314,365,0.03711897575371066,1.873240982175344,0.3191247299155403,-6.306024243678769,-0.10664039195912278,-0.053520910965294335
2024,middle,10863,366,0.13195626899856808,5.581079172932906,0.6025515200013365,-6.199006967592764,0.010755628614869709,0.0046435547646500016
2025,late,13609,365,0.1106320006469241,6.102931559801463,0.5715610182713734,-5.312699154886812,0.010318791052888932,-0.028982570198489554
2026,late,7441,207,0.038703297812484626,2.0864358306846746,0.6190751664703448,-4.624146831823711,-0.0922300433517469,-0.034981899367982315
